id,headline,desk,date,section,snippet,source,type,url,word_count,locations,subjects
5c750e8149f0eacbf105a2b6,"b'Unpacking an Illegal Airbnb Empire, One Fake Host at a Time'",Metro,2019-02-26,Reader Center,b'I set out to understand how a group of real estate professionals allegedly used Airbnb to convert apartments into illegal hotel rooms.',The New York Times,News,https://www.nytimes.com/2019/02/26/reader-center/airbnb-new-york-city.html,870,['New York City'],"['Renting and Leasing (Real Estate)', 'Hotels and Travel Lodgings']"
5c3270e53a125f5075c03130,b'Who Wants a Market Downturn? These Investors Actually Do',Business,2019-01-06,Technology,b'Some venture capitalists are rooting for a market dip to calm Silicon Valley\xe2\x80\x99s overheated start-up scene.',The New York Times,News,https://www.nytimes.com/2019/01/06/technology/market-downturn-venture-capital-investors.html,1046,[],"['Venture Capital', 'Computers and the Internet', 'Entrepreneurship', 'Start-ups', 'Initial Public Offerings', 'Stocks and Bonds']"
5ca6228249f0eacbf1f80e6d,b'Beyonc\xc3\xa9 and Adidas Team Up to Make Shoes and Money',Styles,2019-04-04,Style,b'The high-profile partnership was announced on Thursday.',The New York Times,News,https://www.nytimes.com/2019/04/04/style/beyonce-adidas-collaboration.html,491,[],"['Sneakers', 'Pop and Rock Music']"
5c8b727c49f0eacbf105d37f,b'Apple Defends App Store Policies After Spotify\xe2\x80\x99s Antitrust Complaint',Business,2019-03-15,Business,"b'Accused of using its App Store to undercut competitors, Apple said Spotify was treated like all other developers that use the App Store.'",The New York Times,News,https://www.nytimes.com/2019/03/15/business/apple-spotify.html,405,[],"['Antitrust Laws and Competition Issues', 'Mobile Applications', 'Audio Recordings, Downloads and Streaming', 'Software', 'Video Recordings, Downloads and Streaming']"
5ca1117949f0eacbf1f7b004,b'\xe2\x80\x98Dumbo\xe2\x80\x99 Falls Short of Box-Office Expectations but Still Comes in First',Culture,2019-03-31,Movies,b'Tim Burton\xe2\x80\x99s moody Disney remake sold $45 million in tickets in its first weekend. And Jordan Peele\xe2\x80\x99s \xe2\x80\x9cUs\xe2\x80\x9d has crossed well over the $100 million mark.',The New York Times,News,https://www.nytimes.com/2019/03/31/movies/dumbo-box-office-us.html,444,[],['Movies']
5c81468f49f0eacbf105bdd0,b'Building a Binational Border One Craft Cocktail at a Time',National,2019-03-07,U.S.,"b'In this week\xe2\x80\x99s Crossing the Border newsletter, an entrepreneur hopes to bring Americans and Mexicans together for good food, drinks and conversation.'",The New York Times,News,https://www.nytimes.com/2019/03/07/us/mexico-cocktail-taco-tijuana.html,1162,"['San Ysidro (Calif)', 'Tijuana (Mexico)']","['Illegal Immigration', 'Immigration and Emigration', 'Politics and Government', 'United States Politics and Government']"
5c98fbfe49f0eacbf105eeba,b'Effort to Legalize Marijuana in New Jersey Collapses',Metro,2019-03-25,New York,b'Lawmakers were trying to legalize cannabis with a bill that sought to reckon with the racial inequities caused by the war on drugs.',The New York Times,News,https://www.nytimes.com/2019/03/25/nyregion/new-jersey-marijuana.html,1270,['New Jersey'],"['Marijuana', 'Law and Legislation', 'Blacks', 'State Legislatures']"
5c846a4d49f0eacbf105c410,"b'Corrections: March 10, 2019'",Corrections,2019-03-10,Corrections,"b'Corrections appearing in print on Sunday, March 10, 2019.'",The New York Times,Correction,https://www.nytimes.com/2019/03/09/pageoneplus/corrections-march-10-2019.html,512,[],[]
5c65043f3a125f5075c099fe,b'What\xe2\x80\x99s on TV Thursday: \xe2\x80\x98Marshall\xe2\x80\x99 and \xe2\x80\x98Magic Mike\xe2\x80\x99',Culture,2019-02-14,Arts,"b'Chadwick Boseman stars in a Thurgood Marshall biopic. And it\xe2\x80\x99s Valentine\xe2\x80\x99s Day, so why not see \xe2\x80\x9cMagic Mike,\xe2\x80\x9d on CMT.'",The New York Times,Schedule,https://www.nytimes.com/2019/02/14/arts/television/whats-on-tv-thursday-marshall-and-magic-mike.html,481,[],"['Television', 'Movies']"
5c6ed6c33a125f5075c0ad45,b'In Your Own Words: Mental Health on Campus',SpecialSections,2019-02-21,Education,"b'We asked students to tell us their stories. We heard about managing depression, anxiety and expectations.'",The New York Times,News,https://www.nytimes.com/2019/02/21/education/learning/student-responses-mental-health-on-campus.html,1153,[],"['Colleges and Universities', 'Mental Health and Disorders', 'Anxiety and Stress']"
