"location","status_id","created_at","text"
"Calgary, Alberta","1117214613139902464",2019-04-13 23:54:55,"@DonaldJWorm @anonfmresident @Jeremy_Nolais @RachelNotley @jkenney Hahahahahahhahahahaha. Dream on socialists!!  Hang on to whatever thread you want. You can’t destroy an economy and all the lives that go along with it and win elections (unless you fix it of course)"
"Calgary, Alberta","1116569522704490496",2019-04-12 05:11:33,"@Kathleen_Wynne Don’t forget what this fool did to the Ontario economy for years and years."
"Ireland","1117214603971317761",2019-04-13 23:54:53,"Mining exploration has contributed considerably to the Irish economy...
...but is still under explored! (source: Geological Survey Ireland). 
.
@ExplorationImc is actively developing #gold #mining projects across #Ireland https://t.co/YS5iBWnFxr"
"Nashville, TN, United States ","1117214466628780032",2019-04-13 23:54:20,"@KamalaHarris @IlhanMN Obama stirred the hate! President Trump is doing great! Great economy! Lower taxes! Doesn’t want illegals poring in! Illegals are here illegally. They need to come in the right way!"
"Oregon","1117214015468396544",2019-04-13 23:52:32,"Very much enjoyed today’s #2019townhall in Malheur County, my 934th overall in Oregon. Heard in Ontario from Eastern Oregon residents about the Owyhee, taxes, veterans, college affordability, wildfires, robocalls &amp; the importance of immigrants to the rural economy. https://t.co/OjJw7kIf0w"
"New York","1117213963522072576",2019-04-13 23:52:20,"@CahnEmily @Delblogo Has nothing to do with color.  It has to do with their current education, skill set, &amp; ability to be self sufficient in an economy that requires a lot of both to succeed. Every immigrant group takes awhile to assimilate, but it's tougher now. That could make it a burden on city."
"Texas, USA","1117213939304161280",2019-04-13 23:52:14,"@RealJamesWoods The dems claimed illegal immigrants are the backbone of the economy. Now they don't want them. Hmmm. Who is racist now? Hypocrisy at its worst."
"Los Angeles, CA","1117213820403896322",2019-04-13 23:51:46,"Any more immigrants into an already strain economy will just Further impoverish the Greatest Consumers Created! Focus on ending the still widely used mortgage redlining! And Continuing Business Loan discrimination practices by @BankofAmerica https://t.co/zgQivbAAY1"
"Texas","1117213788183384065",2019-04-13 23:51:38,"Obama Treasonous Acts List.
23. He instructed his Interior Secretary to ignore the orders of Federal courts to lift a moratorium on deepwater drilling in the Gulf of Mexico, which denied oil workers an opportunity to earn a living and damaged the U.S. economy."
"Calgary","1117213757862596608",2019-04-13 23:51:31,"Brad Wall leaves an economy in tatters and then moves to Alberta. What a guy! #ableg https://t.co/UW7BA94mxp"
"Calgary","1117076225002856448",2019-04-13 14:45:00,"@charlesadler @RachelNotley The most important question to ask any AB politician is how we're going to sustain our economy with persistently low oil prices due to the abundance of easy to recover &amp; easy to  refine shale oil and gas from the US. Pipelines will change this dynamic very little. #ableg"
"New York, NY","1117213745661599744",2019-04-13 23:51:28,"The total number of new #H1B visas is limited to 85,000 each fiscal year—a cap that hasn't been adjusted since 2004 &amp; doesn't meet the needs of the US economy. @AILANational shares that the cap for the FY2020 filing period has already been reached https://t.co/GXVjxzx3Sn"
"The Villages, FL","1117213672751992834",2019-04-13 23:51:11,"@SenBlumenthal Wrong again Vietnam man. You have no idea about Americans &amp; their taxes much less corporate taxes. We know unemployment rates for all minorities are the lowest in many years, pay for non-mgmt has risen faster than mgmt, economy is great &amp; middle class takes home more of paycheck."
"New York, USA","1117213644234928129",2019-04-13 23:51:04,"New York Times: Trump's Immigration Policy Wins Black Votes #2020PresidentialRace #AfricanAmerican #black #DonadTrump #Economy #Immigration #Migrant #migration #Politics https://t.co/hXlk4nFFZQ https://t.co/6AqdU5ttpR"
"Washington, DC","1117213540794937344",2019-04-13 23:50:39,"GOLDMAN SACHS: “An update and expansion of our prior work on the relationship between the economy and presidential election outcomes suggests that President Trump has a narrow advantage going into the upcoming election.”"
"Barstow, CA","1117213472721231872",2019-04-13 23:50:23,"@tlong513 @luro5000 @SenSanders You're not thinking this through. The cost of EVERYTHING has gone up over the last twelve years WITHOUT raising the national minimum wage. Minimum wage should go up WITH the price index. By the way, the truth is that after minimum wage goes up, the economy surges. They spend it!"
"New York City, New York","1117213426055548928",2019-04-13 23:50:12,"The problem with the tech IPO economy - Quartz “Most of the current crop of tech startups, however, thrive only because Silicon Valley funding lets them undercut competitors.” https://t.co/GTfWTFvN5I"
"Omaha, Nebraska","1117213301241516032",2019-04-13 23:49:42,"@joesboss @bluesmommy62 @BioTurboNick @stevekerrigan @jaketapper @CNN P.S.  Russia says?  Russia has an economy of Texas.  They are in no position to dictate to anyone!"
"Omaha, Nebraska","1116797592141291521",2019-04-12 20:17:49,"@JoeHassan69 @scluff960 @TeaBoots @elguapo64 No..  Our economy is great, Minorities have jobs waiting, Our Military is stronger..  yet this fool is still upset?  Attention much?  I doubt he/she would have done it!!!!"
"20001","1117213297982562305",2019-04-13 23:49:41,"@SHEPMJS @Alt_LeftAlabama The economy, as indicated by stock markets, goes up for investor class people. For #labor, that has nothing to do w our #economy. For 50 years, we have propped up the Rich's economy w 2 worker families &amp; debt. The Rich has skimmed benefits of growth.

https://t.co/D2iXnV2Tt6"
"Cool, CA","1117213174091014144",2019-04-13 23:49:12,"@LPNational We are in sooo need of this happening.   Greenspan even agrees.

https://t.co/OHq3kPuuag"
"Palm Beach, FL","1117213168403660800",2019-04-13 23:49:10,"dis economy ain’t built for luv"
"Richardson, TX","1117212762365734913",2019-04-13 23:47:34,"Call for Bully Pulpit submissions. This online blog feature invites commentaries that examine both the successes and failures in the transition to a low carbon economy, as well as other climate change policies, practices and actions. Click here: https://t.co/nFk6M7IA5j @PAReview https://t.co/AwxsHSR887"
"Syracuse, NY","1117212651833188352",2019-04-13 23:47:07,"@AOC @IlhanMN @HolocaustMuseum Ironic because hitler supported socialism, and ran his economy that way."
